Enlace,Baños,Área Construida,Antigüedad,Habitaciones,Parqueaderos,Área Privada,Estrato,Administración,Piso N°,Acepta mascotas,Documentación requerida,Estado,Cantidad de pisos,Contrato Mínimo,Precio,Latitud,Longitud
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleñita-ibague/192335140,2,60.00  m2,1 a 8 años,3,1,60.00  m2,3,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 2.000.000,4.4006855183808,-75.159273147583
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cd-simon-bolivar-et-i-ibague/192683852,2,50.00  m2,1 a 8 años,3,¡Pregúntale!,50.00  m2,3,"$ 153,000.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.047.000,4.4311933224394,-75.184507369995
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-arkamonica-ibague/192443048,1,57.00  m2,menor a 1 año,1,1,57.00  m2,4,"$ 150,000.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.550.000,4.4418979691216,-75.207027117622
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192831608,1,39 m2,1 a 8 años,2,¡Pregúntale!,39 m2,2,$ 119.600,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 480.400,4.3923072192132,-75.142806060612
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ibague/192246994,2,74.00  m2,1 a 8 años,3,1,74.00  m2,3,"$ 239,500.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.060.500,4.4255454,-75.1778643
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-interlaken-ibague/192837416,2,90 m2,1 a 8 años,3,1,82 m2,4,$ 422.000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.378.000,4.4457240673077,-75.233808048069
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-pola-ibague/192163448,1,36.00  m2,1 a 8 años,2,¡Pregúntale!,36.00  m2,3,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 900.000,4.4489411746247,-75.244697690941
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-belalcazar-ibague/192444184,1,75.00  m2,9 a 15 años,3,¡Pregúntale!,75.00  m2,3,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 900.000,4.44108375555,-75.222452029224
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cd-simon-bolivar-et-i-ibague/192667146,2,66.00  m2,1 a 8 años,3,1,55.00  m2,3,"$ 160,000.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.140.000,4.432456370876,-75.181154588043
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-yerbabuena-ibague/192826764,2,72 m2,9 a 15 años,3,1,72 m2,4,¡Pregúntale!,6,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.350.000,4.4432817079147,-75.171347377531
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cn-rincon-del-bosque-ibague/192807929,2,60 m2,9 a 15 años,3,1,60 m2,3,$ 218.200,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 950.000,4.4466229116676,-75.172883514315
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-varsovia-ibague/192785085,2,67 m2,1 a 8 años,3,1,64 m2,4,$ 268.950,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.106.756,4.4302563,-75.1969424
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-vergel-ibague/192773032,2,90 m2,9 a 15 años,3,1,90 m2,6,$ 380.000,5,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 2.400.000,4.4467302113487,-75.188477039337
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-el-salado-ibague/192712537,1,42 m2,9 a 15 años,3,¡Pregúntale!,41 m2,3,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 850.000,4.450532821731,-75.14365196228
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192618725,2,73.00  m2,1 a 8 años,3,1,73.00  m2,4,"$ 230,300.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.179.700,4.4281860156573,-75.19597329361
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleñita-ibague/192460901,2,60 m2,1 a 8 años,3,1,60 m2,3,$ 175.000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 925.000,4.4015038541649,-75.159058570862
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ub-entre-rios-et-ii-ibague/192732096,2,66.00  m2,9 a 15 años,3,1,66.00  m2,3,"$ 246,000.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.054.000,4.4458263531101,-75.188798904419
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cd-simon-bolivar-et-i-ibague/192808008,2,55 m2,1 a 8 años,3,1,55 m2,3,$ 207.500,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 742.500,4.4323945348373,-75.179664138705
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192648402,2,68.00  m2,1 a 8 años,3,1,68.00  m2,4,"$ 295,900.00",¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.494.100,4.4295172,-75.1890858
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-samaria-ibague/192835459,1,42 m2,1 a 8 años,2,¡Pregúntale!,42 m2,2,$ 125.000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 625.000,4.4265273,-75.1774323
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-piedra-pintada-ibague/192747728,1,38 m2,9 a 15 años,1,1,38 m2,4,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.250.000,4.4365522,-75.2055862
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-la-samaria-ibague/192784547,2,77 m2,1 a 8 años,3,1,77 m2,4,$ 235.600,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.714.400,4.4309793870922,-75.175495147705
